"zipcode","city","list","list_number","firstname","lastname","gender","position","party","cumuls_2017","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","cumuleo_url"
5000,"Namur","DéFI",,"Zoé","ADRIAEN","F",24,,,,,,,,,,,,,,,,,
1083,"Ganshoren","DéFI",4,"Valérie","Aebly",,18,,,,,,,,,,,,,,,,,
7090,"Braine-le-Comte","Ensemble",,"Hassan","AEDIL","M",5,,,,,,,,,,,,,,,,,
,"Fontaine-l'Evêque","UB",,"Claude","AELBRECHT","M",9,,,,,,,,,,,,,,,,,
,"Fontaine-l'Evêque","UB",,"Laura","AELBRECHT","F",6,,,,,,,,,,,,,,,,,
6440,"Froidchapelle","EC",,"Jean-Michel","AELGOET","M",5,"cdH","5","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,,"https://www.cumuleo.be/mandataire/9214-jean-michel-aelgoet.php"
4120,"Neupré","PS",,"Jacques","AENDEKERK","M",13,,,,,,,,,,,,,,,,,
5000,"Namur","CDH",,"Benoit","AERTS","M",25,,,,,,,,,,,,,,,,,
6110,"Montigny-le-Tilleul","OSONS!",,"Lizzie","AERTS","F",8,,,,,,,,,,,,,,,,,
,"Braine-l'Alleud","INT. BRAINOIS",,"Raphaël","AERTS","M",31,,,,,,,,,,,,,,,,,
6590,"Momignies","AC",,"Christian","AERTSENS","M",17,,,,,,,,,,,,,,,,,
1000,"Bruxelles","DéFI",4,"Henri","AERTSENS",,37,,,,,,,,,,,,,,,,,
6230,"Pont-à-Celles","CDH",,"Ayawovi","AFANOUKOE","F",6,,,,,,,,,,,,,,,,,
1090,"Jette","LBJETTE",1,"Nivar","Afsar",,24,,,,,,,,,,,,,,,,,
7500,"Tournai","ECOLO",,"Laurent","AGACHE","M",6,,,,,,,,,,,,,,,,,
,"Eghezée","PS",,"Guy","AGAMAND","M",21,,,,,,,,,,,,,,,,,
1350,"Orp-Jauche","PACTE",,"Sophie","AGAPITOS","F",3,,,,,,,,,,,,,,,,,
1190,"Forest","ECOLO-GROEN",2,"Deniz","AGBABA",,26,,,,,,,,,,,,,,,,,
1040,"Etterbeek","Alternative CDH",1,"Narek","Aghasaryan",,5,,,,,,,,,,,,,,,,,
6210,"Les Bons Villers","PS",,"Khadija","AGHLAL","F",14,,,,,,,,,,,,,,,,,
1030,"Schaerbeek","PS-sp.a",5,"Sahid","Aghzinnay",,33,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PS sp.a",5,"Leila","Agic",,11,,,,,,,,,,,,,,,,,
,"Saint-Nicolas (liège)","MR",,"Fuat","AGIRBAS","M",3,,,,,,,,,,,,,,,,,
7100,"La Louvière","ECOLO",,"Yawa","AGLAGO","F",34,,,,,,,,,,,,,,,,,
4460,"Grâce-Hollogne","ULP",,"Héloïse","AGNEESSENS","F",16,,,,,,,,,,,,,,,,,
7850,"Enghien","Ensemble Engh.",,"Jean-Marie","AGNEESSENS","M",13,,,,,,,,,,,,,,,,,
4160,"Anthisnes","CiM",,"Blaise","AGNELLO","M",1,,,,,,,,,,,,,,,,,
4430,"Ans","MR-IC",,"Christophe","AGNESSEN","M",11,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","PS+sp.a",5,"Bérengère","Agniez",,21,,,,,,,,,,,,,,,,,
1140,"Evere","LISTE DU BOURGMESTRE",13,"Lilian","Aguilar Diaz",,30,,,,,,,,,,,,,,,,,
7700,"Mouscron","PS",,"Fatima","AHALLOUCH","F",3,"PS","7","oui","oui","oui","oui","oui","oui",,,,,,,,,"https://www.cumuleo.be/mandataire/12804-fatima-ahallouch.php"
1030,"Schaerbeek","CDH-CD&V+",1,"Lambert","Ahanga",,27,,,,,,,,,,,,,,,,,
1060,"Saint-Gilles","MR",12,"Hesdin","Aharchi",,7,,,,,,,,,,,,,,,,,
1090,"Jette","PS - sp.a",5,"Fouad","Ahidar",,7,"sp.a","8","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/9200-fouad-ahidar.php"
,"Fontaine-l'Evêque","Mieux Demain",,"Yassir","AHKIM","M",23,,,,,,,,,,,,,,,,,
,,"ECOLO-GROEN",,,"AHLBRECHT SORNOM-",,,,,,,,,,,,,,,,,,,
1000,"Bruxelles","PLAN B",13,"Yakoub","AHMED MOHAMED",,15,,,,,,,,,,,,,,,,,
1070,"Anderlecht","DéFI",4,"Faket","Ahmetaj",,24,,,,,,,,,,,,,,,,,
1083,"Ganshoren","PROGANSHOREN",1,"Belgi","Ahmetaj Mansour",,16,,,,,,,,,,,,,,,,,
1070,"Anderlecht","PS-sp.a-cdH",5,"Latifa","Ahmiri",,22,,,,,,,,,,,,,,,,,
4845,"Jalhay","Ch-Ensemble",,"Manon","AHN","F",6,,,,,,,,,,,,,,,,,
1190,"Forest","LISTE DU BOURGMESTRE",5,"Karima","AHRAS",,14,,,,,,,,,,,,,,,,,
1190,"Forest","CDH",1,"Samir","AHROUCH",,3,,,,,,,,,,,,,,,,,
1060,"Saint-Gilles","Liste du Bourgmestre",5,"Said","Ahruil",,11,"PS","4","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/9199-said-ahruil.php"
1150,"Woluwe-Saint-Pierre","ECOLO-GROEN",2,"Sonia","AI",,31,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","DéFI",4,"Sandra","Aiello",,36,,,,,,,,,,,,,,,,,
7860,"Lessines","DéFI",,"Kelly","AIERA","F",8,,,,,,,,,,,,,,,,,
7100,"La Louvière","MR-IC",,"Salvatore","AIERA","M",15,,,,,,,,,,,,,,,,,
7320,"Bernissart","PS",,"Malika","AINOUN","F",20,,,,,,,,,,,,,,,,,
4130,"Esneux","ECOLO",,"Fabian","AIRO-FARULLA","M",4,,,,,,,,,,,,,,,,,
1140,"Evere","HUMANISTES EVEROIS",1,"Saïda","Aïssa",,15,,,,,,,,,,,,,,,,,
4340,"Awans","LB",,"Myriam","AIT ABBOU","F",4,,,,,,,,,,,,,,,,,
1000,"Bruxelles","MR-VLD",6,"Latifa","AÏT BAALA",,22,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","ISLAM",14,"Lhoucine","Aït Jeddig",,1,,,,,,,,,,,,,,,,,
1050,"Ixelles","DéFI",4,"Samia","Aït Ouazzou",,21,,,,,,,,,,,,,,,,,
7160,"Chapelle-lez-Herlaimont","ECOLO",,"Jeanne","AKAMESE","F",2,,,,,,,,,,,,,,,,,
6760,"Virton","IC+",,"Meryem","AKBEL","F",19,,,,,,,,,,,,,,,,,
6220,"Fleurus","PS",,"Deniz","AKGÜN","M",23,,,,,,,,,,,,,,,,,
7090,"Braine-le-Comte","PS",,"Myriam","AKHALOUI","F",14,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","MR Open Vld",12,"Halit","Akkas",,7,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","Molenbeek act",15,"Youssef","Akkay",,7,,,,,,,,,,,,,,,,,
,"Court-Saint-Etienne","PP",,"Imane","AKKI","F",10,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PS sp.a",5,"Yassine","Akki",,44,,,,,,,,,,,,,,,,,
6200,"Châtelet","moDem",,"Fatma","AKKULAK","F",12,,,,,,,,,,,,,,,,,
4100,"Seraing","ECOLO",,"Placide","AKOE","M",23,,,,,,,,,,,,,,,,,
5060,"Sambreville","CDH PLUS",,"Arlifa","AKOUDAD","M",10,,,,,,,,,,,,,,,,,
1070,"Anderlecht","PS-sp.a-cdH",5,"Mustapha","Akouz",,7,"PS","4","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,"https://www.cumuleo.be/mandataire/9198-mustapha-akouz.php"
1070,"Anderlecht","PS-sp.a-cdH",5,"Safouane","Akremi",,21,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PTB*PVDA",9,"Mohamed","Akrouh",,31,,,,,,,,,,,,,,,,,
6200,"Châtelet","moDem",,"Muhammed","AKTAS","M",5,,,,,,,,,,,,,,,,,
4960,"Malmedy","PS PLUS",,"Safâ","AKTAS","M",15,,,,,,,,,,,,,,,,,
4800,"Verviers","CDH",,"Naïma","AKTOU","F",22,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","LB",5,"Safa","Akyol",,19,,,,,,,,,,,,,,,,,
1000,"Bruxelles","PTB*PVDA",9,"Fahmi","AL KHAYARI",,12,,,,,,,,,,,,,,,,,
1090,"Jette","PS - sp.a",5,"Ilham","Al Majdoub",,12,,,,,,,,,,,,,,,,,
1190,"Forest","PTB*PVDA",9,"Mustapha","AL MASUDE",,14,,,,,,,,,,,,,,,,,
5640,"Mettet","ROPS",,"Christian","ALAERTS","M",16,,,,,,,,,,,,,,,,,
7140,"Morlanwelz","100% Citoyen",,"Francesco","ALAIMO","M",15,,,,,,,,,,,,,,,,,
,"Saint-Nicolas (liège)","PS",,"Michele","ALAIMO","M",6,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","PS+sp.a",5,"Mateo","Alaluf",,34,,,,,,,,,,,,,,,,,
1180,"Uccle","ECOLO - GROEN",2,"Fathiya","Alami",,16,,,,,,,,,,,,,,,,,
1081,"Koekelberg","LB",13,"Ileana-Félicia","Albac",,22,,,,,,,,,,,,,,,,,
6900,"Marche-en-Famenne","DéFI",,"Ruggiero","ALBADORO","M",3,,,,,,,,,,,,,,,,,
6000,"Charleroi","MR",,"Gülten","ALBAKTEMUR","F",30,,,,,,,,,,,,,,,,,
4557,"Tinlot","TP",,"Dominique","ALBANESE","M",11,,,,,,,,,,,,,,,,,
6530,"Thuin","IC",,"Michelina","ALBERGO","F",3,,,,,,,,,,,,,,,,,
4040,"Herstal","MR",,"Antonio","ALBERICO","M",9,,,,,,,,,,,,,,,,,
6830,"Bouillon","ENSEMBLE",,"Alain","ALBERT","M",9,,,,,,,,,,,,,,,,,
4480,"Engis","EngiSolidair",,"Eric","ALBERT","M",5,,,,,,,,,,,,,,,,,
4360,"Oreye","PS",,"Isabelle","ALBERT","F",1,"PS","15","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","https://www.cumuleo.be/mandataire/9193-isabelle-albert.php"
1380,"Lasne","A.L.L.-Libéral",,"Jean-Luc","ALBERT","M",9,,,,,,,,,,,,,,,,,
5600,"Philippeville","Agir Ensemble",,"Johann","ALBERT","M",15,,,,,,,,,,,,,,,,,
5070,"Fosses-la-Ville","PS",,"Michelle","ALBERT","F",16,,,,,,,,,,,,,,,,,
6230,"Pont-à-Celles","ECOLO",,"Rémi","ALBERT","M",16,,,,,,,,,,,,,,,,,
5590,"Ciney","ECOLO",,"Graziella","ALBERTELLI","F",14,,,,,,,,,,,,,,,,,
5660,"Couvin","ECOLO",,"Bernard","ALDERWEIRELD","M",11,,,,,,,,,,,,,,,,,
1360,"Perwez","DRC+",,"Jean-Marc","ALDRIC","M",3,"PS","6","oui","oui","oui","oui","oui","oui",,,,,,,,,"https://www.cumuleo.be/mandataire/12806-jean-marc-aldric.php"
,"Eghezée","EPV",,"Béatrice","ALDRIC - THOMAS","F",10,,,,,,,,,,,,,,,,,
1360,"Perwez","Ensemble!",,"Joëlle","ALDRIC-DUPONT","F",14,,,,,,,,,,,,,,,,,
6500,"Beaumont","ARC ",,"Marioara","ALECU","F",10,,,,,,,,,,,,,,,,,
6927,"Tellin","ERC",,"Amandine","ALEN","F",6,,,,,,,,,,,,,,,,,
7140,"Morlanwelz","PS",,"Nebih","ALEV","M",7,"PS","10","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui","oui",,,"https://www.cumuleo.be/mandataire/9181-nebih-alev.php"
1090,"Jette","LBJETTE",1,"Nathalie","Alexander",,32,,,,,,,,,,,,,,,,,
5030,"Gembloux","DéFI",,"Amaury","ALEXANDRE","M",3,,,,,,,,,,,,,,,,,
4800,"Verviers","PP",,"Chantal","ALEXANDRE","F",22,,,,,,,,,,,,,,,,,
6120,"Ham-sur-Heure-Nalinnes","Cap Communal",,"Christian","ALEXANDRE","M",19,,,,,,,,,,,,,,,,,
5560,"Houyet","MOTIV'Action",,"Christian","ALEXANDRE","M",11,,,,,,,,,,,,,,,,,
5060,"Sambreville","CDH PLUS",,"Magali","ALEXANDRE","F",19,,,,,,,,,,,,,,,,,
6000,"Charleroi","C+",,"Nadege","ALEXANDRE","F",44,,,,,,,,,,,,,,,,,
1470,"Genappe","#NAME?",,"Pascal","ALEXANDRE","M",9,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","ECOLO-GROEN",2,"Rudolph","Alexandre",,16,,,,,,,,,,,,,,,,,
6180,"Courcelles","BOURGMESTRE",,"Sandrine","ALEXANDRE","F",27,,,,,,,,,,,,,,,,,
1150,"Woluwe-Saint-Pierre","DéFI pour Woluwe 1150",4,"Paulo","Alexandre Joaquim",,33,,,,,,,,,,,,,,,,,
5640,"Mettet","Oxygène",,"Agnès","ALEXANDRE-PRUMONT","F",2,,,,,,,,,,,,,,,,,
4100,"Seraing","MR",,"Serge - Sergei","ALEXANDROFF","M",25,,,,,,,,,,,,,,,,,
5330,"Assesse","ALN",,"Alain","ALEXIS","M",9,,,,,,,,,,,,,,,,,
4470,"Saint-Georges-sur-Meuse","ENSEMBLE",,"Ludivine","ALFIERI","F",10,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","Groen",10,"Hannes","Algoed",,6,,,,,,,,,,,,,,,,,
1090,"Jette","VLAAMS BELANG",3,"Serge","Algoet",,35,,,,,,,,,,,,,,,,,
7080,"Frameries","PP",,"Daniel","ALGRAIN","M",15,,,,,,,,,,,,,,,,,
5363,"Hamois","Ensemble 2018",,"Serge","ALHADEFF","M",3,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","DéFI",4,"Maan","Alhasbane",,12,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","Molenbeek act",15,"Noura","Alhouli",,22,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","PTB*PVDA",9,"Souraya","Ali Idriss",,36,,,,,,,,,,,,,,,,,
6590,"Momignies","AC",,"Charles","ALIBERT","M",9,,,,,,,,,,,,,,,,,
1000,"Bruxelles","Change.Brussels",11,"Alfonso","ALIBERTI",,24,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","Molenbeek act",15,"M'Barka","Alioua",,38,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","Molenbeek act",15,"Malika","Alioua",,36,,,,,,,,,,,,,,,,,
1080,"Molenbeek-Saint-Jean","Molenbeek act",15,"Mehdi","Alioua",,35,,,,,,,,,,,,,,,,,
1081,"Koekelberg","LB",13,"Alisa","Aliu",,8,,,,,,,,,,,,,,,,,
1325,"Chaumont-Gistoux","ECOLO",,"Bénédicte","ALLAERT","F",18,,,,,,,,,,,,,,,,,
1070,"Anderlecht","MR-Open Vld-IC",12,"Sophie","Allaert",,24,,,,,,,,,,,,,,,,,
5550,"Vresse-sur-Semois","ECD",,"Arnaud","ALLARD","M",5,,,,,,,,,,,,,,,,,
5140,"Sombreffe","IC - MR",,"Caroline","ALLARD","F",18,,,,,,,,,,,,,,,,,
7900,"Leuze-en-Hainaut","Idées",,"Catherine","ALLARD","F",6,,,,,,,,,,,,,,,,,
7618,"Rumes","I C",,"Charly","ALLARD","M",15,,,,,,,,,,,,,,,,,
5000,"Namur","MR",,"Etienne","ALLARD","M",46,"MR","8","oui","oui","oui","oui","oui",,,,,,,"oui","oui","oui","https://www.cumuleo.be/mandataire/10416-etienne-allard.php"
1200,"Woluwe-Saint-Lambert","WolHu",1,"Hélène","Allard",,12,,,,,,,,,,,,,,,,,
5000,"Namur","CDH",,"Jean-Marie","ALLARD","M",45,,,,,,,,,,,,,,,,,
5000,"Namur","Oxygène",,"Maryse","ALLARD","F",26,,,,,,,,,,,,,,,,,
7618,"Rumes","PS",,"Nicole","ALLARD","F",9,,,,,,,,,,,,,,,,,
6530,"Thuin","MR",,"Sophie","ALLARD","F",7,,,,,,,,,,,,,,,,,
6210,"Les Bons Villers","Citoyens",,"Jean-Jacques","ALLART","M",5,,,,,,,,,,,,,,,,,
6210,"Les Bons Villers","Citoyens",,"Noreddine","ALLAY","M",17,,,,,,,,,,,,,,,,,
1210,"Saint-Josse-Ten-Noode","CDH + Indépendant",1,"Carmelo","Allegretti",,23,,,,,,,,,,,,,,,,,
